seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chrX	13671083	13671113	31	*	X001	170082	13671225	13682247	11023	+	111	upstream	111	TCEANC
chrX	13752689	13752942	254	*	X002	6399	13730361	13752754	22394	-	0	overlapStart	0	TRAPPC2
chrX	13752689	13752942	254	*	X002	8481	13752832	13787480	34649	+	0	overlapStart	0	OFD1
chrX	19361820	19361828	9	*	X003	5160	19362011	19379825	17815	+	182	upstream	182	PDHA1
chrX	20009411	20009451	41	*	X004	729609	20004935	20007897	2963	-	1513	upstream	1513	LOC729609
chrX	20159926	20160231	306	*	X005	1964	20142636	20159966	17331	-	0	overlapStart	0	EIF1AX
chrX	20285031	20285290	260	*	X006	6197	20168029	20285523	117495	-	0	inside	232	RPS6KA3
chrX	40439870	40440271	402	*	X009	10159	40440216	40465888	25673	+	0	overlapStart	0	ATP6AP2
chrX	40594971	40595262	292	*	X010	9282	40508795	40595136	86342	-	0	overlapStart	0	MED14
chrX	40944111	40944145	35	*	X012	8239	40944888	41095832	150945	+	742	upstream	742	USP9X
chrX	40943698	40943841	144	*	X013	8239	40944888	41095832	150945	+	1046	upstream	1046	USP9X
chrX	41192709	41192807	99	*	X014	1654	41192651	41223725	31075	+	0	inside	57	DDX3X
chrX	43513913	43514026	114	*	X016	4128	43514155	43606071	91917	+	128	upstream	128	MAOA
chrX	46696179	46696517	339	*	X021	6102	46696347	46741791	45445	+	0	overlapStart	0	RP2
chrX	47004394	47004772	379	*	X022	54539	47001615	47004609	2995	-	0	overlapStart	0	NDUFB11
chrX	47004394	47004772	379	*	X022	8241	47004617	47046214	41598	+	0	overlapStart	0	RBM10
chrX	47420332	47420600	269	*	X023	369	47420499	47431320	10822	+	0	overlapStart	0	ARAF
chrX	47441643	47441707	65	*	X024	7076	47441690	47446190	4501	+	0	overlapStart	0	TIMP1
chrX	47510064	47510597	534	*	X025	2002	47494919	47510003	15085	-	60	upstream	60	ELK1
chrX	47518055	47518376	322	*	X026	100133957	47518232	47519776	1545	+	0	overlapStart	0	UXT-AS1
chrX	47518055	47518376	322	*	X026	8409	47511191	47518579	7389	-	0	inside	202	UXT
chrX	48379936	48380253	318	*	X028	10682	48380164	48387104	6941	+	0	overlapStart	0	EBP
chrX	48659739	48659909	171	*	X033	10013	48660287	48683380	23094	+	377	upstream	377	HDAC6
chrX	48660181	48660704	524	*	X034	10013	48660287	48683380	23094	+	0	overlapStart	0	HDAC6
chrX	48755018	48755233	216	*	X036	10084	48755195	48760422	5228	+	0	overlapStart	0	PQBP1
chrX	48755018	48755233	216	*	X036	10245	48750730	48755426	4697	-	0	inside	192	TIMM17B
chrX	48776418	48776530	113	*	X037	11040	48770459	48776413	5955	-	4	upstream	4	PIM2
chrX	48815351	48815390	40	*	X038	55593	48779303	48815648	36346	-	0	inside	257	OTUD5
chrX	48815637	48815835	199	*	X039	55593	48779303	48815648	36346	-	0	overlapStart	0	OTUD5
chrX	48901007	48901405	399	*	X040	7030	48886242	48900990	14749	-	16	upstream	16	TFE3
chrX	48957964	48958415	452	*	X041	11152	48932092	48958059	25968	-	0	overlapStart	0	WDR45
chrX	48958556	48958562	7	*	X042	11152	48932092	48958059	25968	-	496	upstream	496	WDR45
chrX	49125479	49125882	404	*	X053	89801	49126306	49144555	18250	+	423	upstream	423	PPP1R3F
chrX	49125987	49126285	299	*	X054	89801	49126306	49144555	18250	+	20	upstream	20	PPP1R3F
chrX	49686964	49687016	53	*	X055	1184	49687225	49863892	176668	+	208	upstream	208	CLCN5
chrX	53111247	53111540	294	*	X057	64061	53111542	53117728	6187	+	1	upstream	1	TSPYL2
chrX	53449632	53450161	530	*	X059	158787	53449805	53458063	8259	+	0	overlapStart	0	RIBC1
chrX	53449632	53450161	530	*	X059	8243	53401070	53449618	48549	-	13	upstream	13	SMC1A
chrX	54071109	54071391	283	*	X062	23133	53963113	54071569	108457	-	0	inside	177	PHF8
chrX	55187516	55187527	12	*	X065	90736	55169535	55187628	18094	-	0	inside	100	FAM104B
chrX	68048630	68048859	230	*	X066	1947	68048840	68066029	17190	+	0	overlapStart	0	EFNB1
chrX	69509731	69509788	58	*	X069	24137	69509879	69640774	130896	+	90	upstream	90	KIF4A
chrX	69509731	69509788	58	*	X069	51248	69506211	69509798	3588	-	0	inside	9	PDZD11
chrX	69509905	69509953	49	*	X070	24137	69509879	69640774	130896	+	0	inside	25	KIF4A
chrX	69509905	69509953	49	*	X070	51248	69506211	69509798	3588	-	106	upstream	106	PDZD11
chrX	77359339	77359611	273	*	X072	5230	77359666	77382324	22659	+	54	upstream	54	PGK1
chrX	80065388	80065598	211	*	X073	254065	79924987	80065233	140247	-	154	upstream	154	BRWD3
chrX	100353156	100353237	82	*	X074	2491	100353178	100417978	64801	+	0	overlapStart	0	CENPI
chrX	100352930	100352993	64	*	X075	2491	100353178	100417978	64801	+	184	upstream	184	CENPI
chrX	103410871	103411003	133	*	X076	139231	103411156	103440582	29427	+	152	upstream	152	FAM199X
chrX	106871483	106871652	170	*	X078	5631	106871654	106894256	22603	+	1	upstream	1	PRPS1
chrX	118986900	118987228	329	*	X080	65109	118967989	118986991	19003	-	0	overlapStart	0	UPF3B
